state_abbrev,fips,local_voter_score,partisan_score,p_turnout_score,m_turnout_score,offyear_m_turnout_score,pp_turnout_score,nonpp_turnout_score,climate_score,yale_score,biden_support_score
PA,075,34.866133142118137,35.073043897977861,65.778419367950406,59.732866324560497,28.257943806523727,27.388475510618797,27.529372015039126,34.760552902160136,16.791271111566385,30.830697722063594
IN,005,32.933878876077472,40.510117541699302,62.863275495354308,54.902413522892651,9.6556431210119751,26.291678047688325,22.921885144968105,34.893251987014452,15.47997537221538,29.692201947833873
PA,095,32.528776572325292,55.230054500801813,66.610440379935554,60.958476781088414,27.357065479461284,25.123805972659991,26.055128794590281,48.173275832872328,27.569360683683495,46.17633242642161
MO,163,40.845322751322769,25.308098739495801,62.526186974789923,54.272699579831944,13.881060924369747,24.83529411764707,30.582027310924367,23.164063492063491,12.053121693121692,23.332000000000001
GA,153,32.133975880733061,50.503381795566803,66.919485807488741,56.5304244259044,12.189144694382836,20.237118785275893,22.735377430445542,43.113396163707144,19.678258237584281,39.449299686639449
NH,015,33.581081615106513,46.521046139058001,67.726997223112221,66.303109580262714,11.957642315497173,32.551219160525427,29.56826284310587,46.341597376867085,27.042806410441255,43.573549720437725
OH,029,38.409004029936696,44.935445244909367,61.581984604756734,54.358449291095098,27.884236323563268,29.282721471100999,20.948067370637194,34.553088247388779,14.091874331770704,26.98342791347973
IA,123,33.55514173228346,32.25906984052164,68.526270720402238,59.29407651818682,12.581577500196405,20.29744677508053,20.570217613323909,29.665811023622052,12.849070866141734,24.903905511811022
PA,111,40.046555196054044,28.841854462201475,66.920304363440493,59.838552702460042,34.249515173280678,30.913348446758807,30.945773478182794,30.299081385614407,13.540561576577597,24.752686833948001
GA,037,43.313755020080315,69.171007984031931,65.058083832335328,56.401546906187619,11.82864271457086,23.01901197604791,32.113023952095809,59.106777108433754,28.214407630522086,60.60271084337348
KY,185,39.142379644504345,36.322559966914802,74.378983147229093,64.145011373035572,33.957071960297775,22.492579094292779,24.743401054590574,38.992195678084684,20.426089547598071,34.268847489247044
WV,035,39.135166687476577,34.044425021850422,63.789099762766888,54.719272068922464,17.20826570108628,33.35672992883007,31.384467474091643,32.611730553127735,12.777387938569113,25.006099388188286
TX,491,29.966690113096426,53.158068669928319,65.858966934051566,55.131757431362693,14.502057485171491,24.938562217543176,22.176078741186103,47.765540912391771,23.37099155602882,40.502254113708659
OH,147,40.409146537842204,41.739362318840563,64.851719806763299,54.890476650563606,27.927590982286645,31.808808373590963,24.46497906602254,33.473935587761673,14.529581320450884,26.668409017713369
MS,107,41.22043743702212,53.075348230691709,61.16160867761247,52.926590006520087,23.571133898405542,28.383948787860835,21.686568668128736,51.048752296840739,21.153790528125189,43.030300515677794
MT,041,41.827877966101703,44.709276412941335,68.753846153846141,61.684011276681446,18.381675392670161,27.331964022016376,32.891354544234126,40.802684745762718,16.853098305084746,31.438888135593213
CO,029,41.989092983456928,27.75463836034103,73.397097848794544,64.833939359719935,35.853503472418282,22.714668849867319,33.046632036587432,30.937307472903601,14.113080433542498,26.701665715915574
FL,061,36.553377253882438,41.387275721929306,66.670693032639065,60.224916428703715,9.4576793006325097,23.835659360472487,30.843415166606572,36.403678099796146,19.199920233980322,35.407175002708108
