geoid,age,race,population,registered,reg_frac
01099,18-34,Black,1974,1009,0.5111448834853091
01099,18-34,Other,2,10,5.0
01099,18-34,White,1987,1300,0.6542526421741318
01099,18-34,Hispanic,9,9,1.0
01099,35-64,Native American,125,24,0.192
01099,35-64,Asian,46,13,0.2826086956521739
01099,35-64,Black,3515,1856,0.528022759601707
01099,35-64,Other,6,7,1.1666666666666667
01099,35-64,White,4646,2685,0.5779164873009041
01099,35-64,Hispanic,6,6,1.0
01099,65+,Native American,32,10,0.3125
01099,65+,Asian,1,3,3.0
01099,65+,Black,1327,905,0.6819894498869631
01099,65+,Other,20,3,0.15
01099,65+,White,2680,1982,0.7395522388059701
01099,65+,Hispanic,50,4,0.08
01101,18-34,Native American,102,24,0.23529411764705882
01101,18-34,Asian,1247,314,0.2518043303929431
01101,18-34,Black,36915,17297,0.4685629148042801
01101,18-34,Other,604,304,0.5033112582781457
01101,18-34,White,15483,7272,0.46967641929858556
01101,18-34,Hispanic,1839,285,0.15497553017944535
01101,35-64,Native American,216,41,0.18981481481481483
01101,35-64,Asian,3037,678,0.22324662495884096
01101,35-64,Black,47768,28393,0.5943937363925641
01101,35-64,Other,772,427,0.5531088082901554
01101,35-64,White,31088,16966,0.5457411219763253
01101,35-64,Hispanic,2072,326,0.15733590733590733
